City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Coronel Vivida,BR,-25.9797,-52.5678,65.01,95,41,6.64,scattered clouds
117,Zruc Nad Sazavou,CZ,49.7401,15.1061,43.21,86,95,4.16,overcast clouds
118,Flin Flon,CA,54.7682,-101.865,26.44,86,100,2.3,light snow
119,Lujiang,CN,31.2581,117.2817,52.57,94,100,14.41,overcast clouds
120,Galveston,US,29.3669,-94.9669,79.18,61,1,5.99,clear sky
121,Paramonga,PE,-10.6667,-77.8333,75.22,73,25,9.78,scattered clouds
122,Hermanus,ZA,-34.4187,19.2345,60.8,80,1,12.26,clear sky
123,Salinopolis,BR,-0.6136,-47.3561,77.41,84,100,8.72,overcast clouds
124,Carnarvon,AU,-24.8667,113.6333,73.47,68,90,14.97,overcast clouds
125,Aykhal,RU,66.0,111.5,-25.15,100,100,5.39,overcast clouds
126,Pemba,MZ,-12.974,40.5178,81.3,94,75,5.99,broken clouds
127,Port Blair,IN,11.6667,92.75,80.64,83,40,0.0,mist
128,Victoria,HK,22.2855,114.1577,74.17,92,100,8.99,overcast clouds
129,Westport,US,41.1415,-73.3579,62.15,65,3,4.0,clear sky
130,Nikolskoye,RU,59.7035,30.7861,33.69,95,81,4.07,broken clouds
131,Souillac,MU,-20.5167,57.5167,80.98,89,75,1.14,broken clouds
132,Nola,IT,40.922,14.5329,55.24,80,100,2.68,overcast clouds
133,Dillon,US,34.4166,-79.3712,66.11,88,99,13.31,overcast clouds
134,Zhigalovo,RU,54.8097,105.1578,-7.92,100,100,1.21,overcast clouds
135,Mwinilunga,ZM,-11.7358,24.4293,63.97,95,100,1.3,overcast clouds
136,Airai,TL,-8.9266,125.4092,60.22,90,50,1.16,scattered clouds
137,Talnakh,RU,69.4865,88.3972,-14.75,94,46,5.99,scattered clouds
138,Deputatskiy,RU,69.3,139.9,-25.15,100,35,4.54,scattered clouds
139,Port Alfred,ZA,-33.5906,26.891,65.89,72,4,5.61,clear sky
140,Norman Wells,CA,65.282,-126.8329,-0.36,65,75,4.61,broken clouds
