City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Sambava,MG,2022-03-16 04:37:41,-14.2667,50.1667,77.99,86,100,3.31
112,Aswan,EG,2022-03-16 04:37:42,24.0934,32.907,47.5,46,0,6.91
113,Allapalli,IN,2022-03-16 04:37:42,19.4167,80.0667,100.11,14,100,1.92
114,Saint-Augustin,CA,2022-03-16 04:37:43,51.226,-58.6502,-11.33,89,2,6.82
115,Butaritari,KI,2022-03-16 04:37:43,3.0707,172.7902,81.72,79,98,17.83
116,Cape Town,ZA,2022-03-16 04:37:43,-33.9258,18.4232,64.81,75,0,18.41
117,Faanui,PF,2022-03-16 04:37:44,-16.4833,-151.75,82.17,70,60,8.84
118,Vardo,NO,2022-03-16 04:37:44,70.3705,31.1107,29.46,80,6,25.1
119,Guerrero Negro,MX,2022-03-16 04:37:44,27.9769,-114.0611,60.03,86,42,9.73
120,Tahe,CN,2022-03-16 04:37:45,52.3333,124.7333,13.37,68,100,14.43
121,Bundaberg,AU,2022-03-16 04:37:45,-24.85,152.35,79.09,65,40,13.8
122,Liverpool,GB,2022-03-16 04:37:12,53.4106,-2.9779,47.82,84,100,4.61
123,Tasiilaq,GL,2022-03-16 04:37:46,65.6145,-37.6368,17.76,97,98,6.33
124,Dikson,RU,2022-03-16 04:37:46,73.5069,80.5464,14.22,97,96,1.9
125,Kaputa,ZM,2022-03-16 04:37:47,-8.4689,29.6619,68.65,89,96,2.84
126,Padang,ID,2022-03-16 04:37:47,-0.9492,100.3543,87.85,59,80,5.7
127,Vestmanna,FO,2022-03-16 04:37:47,62.1564,-7.1664,40.12,65,75,14.97
128,Maniitsoq,GL,2022-03-16 04:37:48,65.4167,-52.9,-4.7,98,100,6.38
129,Lata,PT,2022-03-16 04:37:48,40.1629,-8.3327,54.91,79,57,3.94
130,San Rafael,AR,2022-03-16 04:37:49,-34.6177,-68.3301,70.81,38,8,3.69
131,Valday,RU,2022-03-16 04:37:49,57.9747,33.2525,17.65,93,6,5.26
132,Samagaltay,RU,2022-03-16 04:37:49,50.6022,95.0047,18.36,69,97,2.8
133,Chiredzi,ZW,2022-03-16 04:37:50,-21.05,31.6667,68.65,93,100,7.31
134,Itaqui,BR,2022-03-16 04:37:50,-29.1253,-56.5531,65.08,75,0,7.96
135,Bredasdorp,ZA,2022-03-16 04:37:51,-34.5322,20.0403,51.12,93,60,2.3
136,Sholapur,IN,2022-03-16 04:37:51,17.6833,75.9167,91.81,14,51,3.38
137,Carnarvon,AU,2022-03-16 04:37:51,-24.8667,113.6333,84.27,58,45,21.85
138,Tuktoyaktuk,CA,2022-03-16 04:38:52,69.4541,-133.0374,-16.6,76,0,11.5
139,Honiara,SB,2022-03-16 04:38:52,-9.4333,159.95,83.93,67,99,3.02
140,Baruun-Urt,MN,2022-03-16 04:38:54,46.6806,113.2792,17.67,19,0,9.17
141,Oriximina,BR,2022-03-16 04:38:54,-1.7656,-55.8661,70.99,94,99,2.1
142,Gamba,GA,2022-03-16 04:38:54,-2.65,10.0,74.14,93,100,3.02
143,Sebeta,ET,2022-03-16 04:38:55,8.9167,38.6167,60.19,42,19,2.91
144,Andilamena,MG,2022-03-16 04:38:55,-17.0167,48.5833,69.94,88,100,4.59
145,Roald,NO,2022-03-16 04:38:56,62.5833,6.1333,46.54,53,100,13.8
146,Ulladulla,AU,2022-03-16 04:38:56,-35.35,150.4667,73.76,84,100,5.75
147,Tazovskiy,RU,2022-03-16 04:38:56,67.4667,78.7,18.14,94,100,8.12
