City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Shasta Lake,US,71.35,clear sky,40.6804,-122.3708,Shasta Dam Motel
156,Gorontalo,ID,74.84,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
157,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
158,Evensk,RU,6.22,broken clouds,61.95,159.2333,
159,Mataram,ID,76.01,few clouds,-8.5833,116.1167,Hotel Santika Mataram
160,Richards Bay,ZA,68.99,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
161,Ryotsu,JP,45.09,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
162,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
163,Falam,MM,55.85,clear sky,22.9167,93.6833,Falang Government Guesthouse
165,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
166,Kaitangata,NZ,53.55,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
167,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
168,Mugumu,TZ,61.14,overcast clouds,-1.85,34.7,Lemala Mara
169,Lavrentiya,RU,4.82,clear sky,65.5833,-171.0,
171,Doctor Arroyo,MX,76.78,clear sky,23.6667,-100.1833,Hotel Plaza
172,Tuatapere,NZ,52.83,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
174,Havoysund,NO,36.18,broken clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
176,Lata,PT,55.92,broken clouds,40.1629,-8.3327,Casa Maquia
177,Kirakira,SB,83.07,overcast clouds,-10.4544,161.9205,SanBiz Lodge
178,Provideniya,RU,14.36,clear sky,64.3833,-173.3,
179,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
180,Poum,NC,77.07,heavy intensity rain,-20.2333,164.0167,
182,Qandala,SO,76.8,clear sky,11.472,49.8728,
184,Nanortalik,GL,8.01,light snow,60.1432,-45.2371,Hotel Kap Farvel
185,Omboue,GA,77.79,light rain,-1.5746,9.2618,Hotel Olako
186,Hofn,IS,35.44,light rain,64.2539,-15.2082,Hótel Höfn
187,Mersing,MY,77.32,overcast clouds,2.4312,103.8405,Timotel Hotel
188,Khasan,RU,25.07,clear sky,42.4308,130.6434,
189,Ponta Do Sol,PT,62.06,scattered clouds,32.6667,-17.1,Hotel do Campo
190,Sabha,LY,56.93,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
191,Mackay,AU,76.68,light rain,-21.15,149.2,International Lodge Motel
192,Faanui,PF,81.59,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
193,Disraeli,CA,36.3,broken clouds,45.9001,-71.3491,Auberge De La Chanterelle
194,Matara,LK,77.95,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
195,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
196,Aripuana,BR,76.06,light rain,-9.1667,-60.6333,
197,Strezhevoy,RU,20.1,light snow,60.7333,77.5889,Sibiryachka
198,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
199,Wanaka,NZ,55.11,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
200,Constitucion,CL,62.85,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
201,Port Macquarie,AU,68.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
202,Pitimbu,BR,80.98,light rain,-7.4706,-34.8086,Reserva do Abiaí
203,Kilindoni,TZ,81.21,scattered clouds,-7.9139,39.6668,Bustani B&B
205,Nizwa,OM,76.32,few clouds,22.9333,57.5333,Orient Apartments
